trip_id,start_time,start_lon,start_lat,end_time,end_lon,end_lat,charging,charging_time,charging_waittime
24995,06/01/14 07:08 AM,114.063301,22.558201,06/01/14 07:13 AM,114.0355,22.567698999999998,0,0,0
4610,06/01/14 03:39 PM,114.048401,22.5257,06/01/14 03:48 PM,114.040398,22.5688,0,0,0
1214,06/01/14 08:43 AM,114.1119,22.558701,06/01/14 08:57 AM,114.10990100000001,22.5448,0,0,0
22535,06/01/14 03:17 AM,114.099899,22.547199,06/01/14 03:29 AM,114.121696,22.5944,0,0,0
1218,06/01/14 09:42 AM,114.114899,22.6001,06/01/14 09:47 AM,114.122398,22.595699,0,0,0
26762,06/01/14 01:25 AM,114.047798,22.5382,06/01/14 01:29 AM,114.071899,22.530399,0,0,0
24750,06/01/14 12:23 PM,114.103996,22.552401,06/01/14 12:32 PM,114.101799,22.543699,0,0,0
14794,06/01/14 03:04 PM,114.011597,22.534201,06/01/14 03:10 PM,114.02559699999999,22.524099,0,0,0
11415,06/01/14 10:56 PM,114.0541,22.5716,06/01/14 11:00 PM,114.060303,22.5765,0,0,0
22634,06/01/14 07:44 AM,114.1194,22.555099,06/01/14 08:01 AM,114.026703,22.612,0,0,0
1894,06/01/14 02:34 AM,114.107803,22.5676,06/01/14 03:43 AM,114.123299,22.5625,1,4941,0
1590,06/01/14 06:38 PM,113.868896,22.5842,06/01/14 06:53 PM,113.817802,22.6507,1,2707,60
160,06/01/14 08:29 PM,114.081902,22.5362,06/01/14 08:42 PM,114.007896,22.534901,1,2618,0
35,06/01/14 02:32 AM,113.943298,22.5833,06/01/14 02:38 AM,113.922897,22.5467,1,13805,1655
624,06/01/14 02:51 AM,113.873497,22.585699,06/01/14 03:13 AM,113.987396,22.5606,1,5188,30
622,06/01/14 11:52 AM,114.099197,22.5581,06/01/14 11:57 AM,114.0746,22.559,1,2209,767
1337,06/01/14 04:36 PM,114.067001,22.5224,06/01/14 04:51 PM,114.007401,22.5354,1,4575,0
1557,06/01/14 08:14 AM,113.942703,22.5065,06/01/14 08:15 AM,113.944298,22.506901,1,2911,30
2298,06/01/14 09:44 PM,114.098297,22.569799,06/01/14 10:02 PM,113.987297,22.5606,1,4707,40
2268,06/01/14 10:31 PM,114.144798,22.555599,06/01/14 10:40 PM,114.101601,22.582399,1,3910,500
