vehicleID,pickupLocation,dropoffLocation,pickupTime,dropoffTime
0AA56,"(114.04789699999999, 22.5375)","(114.0299, 22.563801)",2014-06-01 01:00:12+00:00,2014-06-01 01:17:54+00:00
0AA56,"(114.047699, 22.540899)","(114.155502, 22.559299)",2014-06-01 01:54:31+00:00,2014-06-01 02:12:23+00:00
0AA56,"(114.145103, 22.5555)","(114.118698, 22.546801000000002)",2014-06-01 02:21:05+00:00,2014-06-01 02:27:48+00:00
0AA56,"(114.1194, 22.540701000000002)","(114.117897, 22.5399)",2014-06-01 02:38:00+00:00,2014-06-01 02:40:50+00:00
0AA56,"(114.033401, 22.527201)","(114.050301, 22.5124)",2014-06-01 05:16:20+00:00,2014-06-01 05:25:48+00:00
0AA56,"(114.035698, 22.5485)","(113.944702, 22.5245)",2014-06-01 06:33:43+00:00,2014-06-01 06:46:05+00:00
0AA56,"(113.933502, 22.520201)","(113.910301, 22.4909)",2014-06-01 07:01:00+00:00,2014-06-01 07:19:06+00:00
0AA56,"(113.911598, 22.4895)","(113.902397, 22.517799)",2014-06-01 07:26:29+00:00,2014-06-01 07:39:56+00:00
0AA56,"(113.9226, 22.5296)","(113.902702, 22.517599)",2014-06-01 07:56:09+00:00,2014-06-01 08:03:23+00:00
0AA56,"(113.918701, 22.52)","(113.897598, 22.564301)",2014-06-01 08:15:24+00:00,2014-06-01 08:28:39+00:00
0AA56,"(113.905098, 22.5553)","(113.924797, 22.5427)",2014-06-01 08:43:42+00:00,2014-06-01 08:52:26+00:00
0AA56,"(114.008003, 22.534901)","(114.028999, 22.528098999999997)",2014-06-01 10:37:40+00:00,2014-06-01 10:46:06+00:00
0AA56,"(114.028999, 22.528098999999997)","(114.0513, 22.518101)",2014-06-01 10:46:36+00:00,2014-06-01 10:59:30+00:00
0AA56,"(114.063301, 22.5245)","(114.10990100000001, 22.537701000000002)",2014-06-01 11:05:07+00:00,2014-06-01 11:25:41+00:00
0AA56,"(114.118797, 22.5401)","(114.059502, 22.5263)",2014-06-01 11:27:44+00:00,2014-06-01 11:47:52+00:00
0AA56,"(114.0597, 22.5236)","(114.065697, 22.5315)",2014-06-01 11:48:17+00:00,2014-06-01 11:54:50+00:00
0AA56,"(114.06819899999999, 22.523899)","(114.113297, 22.6043)",2014-06-01 12:04:03+00:00,2014-06-01 12:27:47+00:00
0AA56,"(114.112503, 22.6094)","(114.119003, 22.5982)",2014-06-01 12:31:24+00:00,2014-06-01 12:41:37+00:00
0AA56,"(114.1157, 22.5965)","(114.115303, 22.578899)",2014-06-01 12:45:05+00:00,2014-06-01 12:50:21+00:00
0AA56,"(114.115501, 22.578501)","(114.11979699999999, 22.558701)",2014-06-01 12:51:51+00:00,2014-06-01 13:00:04+00:00
0AA56,"(114.12069699999999, 22.5567)","(114.120796, 22.5431)",2014-06-01 13:00:35+00:00,2014-06-01 13:09:04+00:00
0AA56,"(114.125702, 22.546499)","(114.099602, 22.5434)",2014-06-01 13:11:03+00:00,2014-06-01 13:25:36+00:00
0AA56,"(114.0895, 22.5518)","(113.9384, 22.525999)",2014-06-01 13:32:48+00:00,2014-06-01 13:53:00+00:00
0AA56,"(113.9589, 22.534599)","(113.945297, 22.535801)",2014-06-01 14:07:09+00:00,2014-06-01 14:14:21+00:00
0AA56,"(113.945198, 22.5278)","(113.945198, 22.528299)",2014-06-01 14:16:19+00:00,2014-06-01 14:19:34+00:00
0AA56,"(113.929802, 22.5282)","(114.1045, 22.537399)",2014-06-01 14:20:18+00:00,2014-06-01 14:46:58+00:00
0AA56,"(114.037697, 22.523701000000003)","(114.121002, 22.5478)",2014-06-01 16:25:03+00:00,2014-06-01 16:51:47+00:00
0AA56,"(114.122498, 22.550301)","(114.110603, 22.5394)",2014-06-01 16:53:03+00:00,2014-06-01 17:05:06+00:00
0AA56,"(114.111198, 22.534599)","(113.875702, 22.5627)",2014-06-01 17:06:45+00:00,2014-06-01 17:49:19+00:00
0AA56,"(113.871201, 22.5618)","(113.931503, 22.517)",2014-06-01 17:55:40+00:00,2014-06-01 18:18:46+00:00
0AA56,"(113.931503, 22.517)","(113.920197, 22.5387)",2014-06-01 18:19:18+00:00,2014-06-01 18:35:00+00:00
0AA56,"(113.910103, 22.541999999999998)","(113.925697, 22.5329)",2014-06-01 18:36:57+00:00,2014-06-01 18:43:55+00:00
0AA56,"(113.926498, 22.524599)","(113.899002, 22.511999)",2014-06-01 18:45:54+00:00,2014-06-01 18:57:57+00:00
0AA56,"(113.877998, 22.503799)","(114.115799, 22.535101)",2014-06-01 19:23:01+00:00,2014-06-01 20:25:24+00:00
0AA56,"(114.114899, 22.5348)","(114.119904, 22.541401)",2014-06-01 20:27:48+00:00,2014-06-01 20:36:21+00:00
0AA56,"(114.119904, 22.541401)","(114.124901, 22.559)",2014-06-01 20:37:31+00:00,2014-06-01 20:54:48+00:00
0AA56,"(114.124901, 22.559)","(114.132599, 22.5844)",2014-06-01 20:55:39+00:00,2014-06-01 21:09:35+00:00
0AA56,"(114.104202, 22.561999999999998)","(114.1045, 22.552298999999998)",2014-06-01 23:07:57+00:00,2014-06-01 23:11:06+00:00
0AA56,"(114.1045, 22.552298999999998)","(114.1203, 22.538601)",2014-06-01 23:11:47+00:00,2014-06-01 23:19:35+00:00
0AA56,"(114.136299, 22.5494)","(114.132103, 22.549)",2014-06-01 23:21:32+00:00,2014-06-01 23:25:33+00:00
0AA56,"(114.131798, 22.548901)","(114.063004, 22.530701)",2014-06-01 23:26:47+00:00,2014-06-01 23:41:16+00:00
0AA56,"(114.058899, 22.520201)","(114.07109799999999, 22.5581)",2014-06-01 23:47:57+00:00,2014-06-02 00:07:44+00:00
0AC42,"(114.025002, 22.528299)","(113.962097, 22.5341)",2014-06-01 00:10:12+00:00,2014-06-01 00:24:38+00:00
0AC42,"(113.992897, 22.530898999999998)","(114.091202, 22.5403)",2014-06-01 00:34:26+00:00,2014-06-01 00:46:34+00:00
0AC42,"(114.086197, 22.5376)","(114.063202, 22.534000000000002)",2014-06-01 00:49:06+00:00,2014-06-01 00:52:29+00:00
0AC42,"(114.063103, 22.537701000000002)","(114.096199, 22.5539)",2014-06-01 00:53:20+00:00,2014-06-01 01:04:29+00:00
0AC42,"(114.083801, 22.548401000000002)","(113.967499, 22.563801)",2014-06-01 01:18:37+00:00,2014-06-01 01:36:56+00:00
0AC42,"(113.962799, 22.542601)","(113.9198, 22.5333)",2014-06-01 01:48:48+00:00,2014-06-01 01:57:14+00:00
0AC42,"(113.91999799999999, 22.535101)","(113.91950200000001, 22.5529)",2014-06-01 02:05:06+00:00,2014-06-01 02:12:43+00:00
0AC42,"(113.985901, 22.524099)","(113.9599, 22.564698999999997)",2014-06-01 02:43:12+00:00,2014-06-01 02:54:14+00:00
0AC42,"(114.127197, 22.6129)","(114.097397, 22.645901000000002)",2014-06-01 07:04:13+00:00,2014-06-01 07:13:58+00:00
0AC42,"(114.1175, 22.650801)","(113.903603, 22.5303)",2014-06-01 07:23:23+00:00,2014-06-01 07:55:50+00:00
0AC42,"(113.978798, 22.561701)","(114.298698, 22.609501)",2014-06-01 08:24:24+00:00,2014-06-01 09:41:20+00:00
0AC42,"(114.226997, 22.554399)","(114.13110400000001, 22.548901)",2014-06-01 10:15:13+00:00,2014-06-01 10:31:39+00:00
0AC42,"(114.126701, 22.549601000000003)","(114.068001, 22.5215)",2014-06-01 10:37:45+00:00,2014-06-01 10:51:52+00:00
0AC42,"(114.079002, 22.534401000000003)","(114.0952, 22.5431)",2014-06-01 10:57:28+00:00,2014-06-01 11:03:32+00:00
0AC42,"(114.098099, 22.543501000000003)","(114.101097, 22.546499)",2014-06-01 11:06:35+00:00,2014-06-01 11:13:03+00:00
0AC42,"(114.103699, 22.5492)","(114.125801, 22.5464)",2014-06-01 11:14:07+00:00,2014-06-01 11:22:43+00:00
0AC42,"(114.101097, 22.584801000000002)","(114.05439799999999, 22.5354)",2014-06-01 12:33:22+00:00,2014-06-01 12:54:07+00:00
0AC42,"(114.071404, 22.5387)","(114.127197, 22.548201000000002)",2014-06-01 13:07:11+00:00,2014-06-01 13:22:46+00:00
0AC42,"(114.1287, 22.5504)","(114.111298, 22.547701)",2014-06-01 13:26:16+00:00,2014-06-01 13:32:35+00:00
0AC42,"(114.109802, 22.5464)","(114.113899, 22.534599)",2014-06-01 13:33:23+00:00,2014-06-01 13:38:11+00:00
0AC42,"(114.11350300000001, 22.5343)","(114.128899, 22.5506)",2014-06-01 13:39:59+00:00,2014-06-01 13:48:18+00:00
